Alloy Name,Standard,Elastic Modulus (GPa),Elongation at Break (%),Fatigue Strength (MPa),Poisson's Ratio,Shear Modulus (GPa),Shear Strength (MPa),Tensile Strength: Ultimate (UTS) (MPa),Tensile Strength: Yield (Proof) (MPa),Latent Heat of Fusion (J/g),Maximum Temperature: Mechanical (°C),Melting Completion (Liquidus) (°C),Melting Onset (Solidus) (°C),Specific Heat Capacity (J/kg-K),Thermal Conductivity (W/m-K),Thermal Expansion (µm/m-K),Electrical Conductivity: Equal Volume (% IACS),Electrical Conductivity: Equal Weight (% IACS),Base Metal Price (% relative),Density (g/cm³),Embodied Carbon (kg CO₂/kg),Embodied Energy (MJ/kg),Resilience: Ultimate (MJ/m³),Resilience: Unit (kJ/m³),Stiffness to Weight: Axial (points),Stiffness to Weight: Bending (points),Strength to Weight: Axial (points),Strength to Weight: Bending (points),Thermal Diffusivity (mm²/s),Thermal Shock Resistance (points),Embodied Water (L/kg)
"201.0 (CQ51A,A02010) Cast Aluminum",ANSI/AA Cast Aluminum,71,4.4-20,120-150,0.33,27,290,370-470,220-400,390,170,650,570,870,120,19,30-33,87-97,38.0,3.1,8.7,160,19-63,330-1160,13,45,33-42,37-44,45,19-25,
204.0 (A02040) Cast Aluminum,ANSI/AA Cast Aluminum,71,5.7-7.8,63-77,0.33,27,,230-340,180-220,390,170,650,580,880,120,19,29-34,87-100,11.0,3.0,8.0,150,12-23,220-350,13,46,21-31,28-36,46,12-18,1150.0
206.0 (A02060) Cast Aluminum,ANSI/AA Cast Aluminum,71,8.4-12,88-210,0.33,27,260,330-440,190-350,390,170,650,570,880,120,19,33,99,11.0,3.0,8.0,150,24-49,270-840,13,46,30-40,35-42,46,17-23,1150.0
"213.0 (213.0-F,CS74A) Cast Aluminum",ANSI/AA Cast Aluminum,73,1.5,93,0.33,28,,190,130,410,170,670,480,850,130,23,34,94,11.0,3.2,7.7,140,2.5,120,13,44,16,23,49,8.0,1090.0
224.0 Cast Aluminum,ANSI/AA Cast Aluminum,71,4.0-10,86-120,0.33,27,,380-420,280-330,390,220,650,550,870,120,23,32,95,11.0,3.0,8.3,160,16-35,540-770,13,45,35-38,38-41,47,17-18,1150.0
238.0 (238.0-F) Cast Aluminum,ANSI/AA Cast Aluminum,76,1.5,110,0.33,28,,210,170,430,170,600,510,840,100,21,25,67,12.0,3.4,7.4,140,2.9,180,12,42,17,23,37,9.1,1040.0
240.0 (240.0-F) Cast Aluminum,ANSI/AA Cast Aluminum,72,1.0,140,0.33,27,,240,200,380,180,600,520,860,96,22,23,65,12.0,3.2,8.7,150,2.2,280,12,43,20,26,35,11,1100.0
"242.0 (CN42A,A02420) Cast Aluminum",ANSI/AA Cast Aluminum,73,0.5-1.5,55-110,0.33,27,150-240,180-290,120-220,390,210,640,530,870,130-170,22,33-44,96-130,12.0,3.1,8.3,150,1.3-3.4,110-340,13,45,16-26,23-32,50-62,8.0-13,1130.0
"295.0 (C4A,A02950) Cast Aluminum",ANSI/AA Cast Aluminum,71,2.0-7.2,44-55,0.33,27,180-230,230-280,100-220,400,170,640,530,880,140,23,35,100,10.0,3.0,7.9,150,5.2-13,77-340,13,46,21-26,27-32,54,9.8-12,1140.0
296.0 (A02960) Cast Aluminum,ANSI/AA Cast Aluminum,72,3.2-7.1,47-70,0.33,27,,260-270,120-180,420,170,630,540,870,130-150,22,33-37,99-110,11.0,3.0,7.8,150,7.6-15,110-220,13,46,24-25,30-31,51-56,12,1110.0
